Clic sur le bouton Lancer Recherche
(Traitement 41220) Connection a la BD
(Traitement 41220) Armement du signal SIGALRM
(Traitement 41220) Reception du signal SIGUSR1 (14)
(Traitement 39445) Reception du signal SIGALRM (14)
(Traitement 39445) Reception du signal SIGALRM (14)
(Traitement 39445) Reception du signal SIGALRM (14)
(Traitement 39445) Reception du signal SIGALRM (14)
(Traitement 39445) Reception du signal SIGALRM (14)
(Traitement 39445) Reception du signal SIGALRM (14)
(Traitement 39152) Reception du signal SIGALRM (14)
(Traitement 39152) Reception du signal SIGALRM (14)
(Traitement 39152) Reception du signal SIGALRM (14)
(Traitement 39152) Reception du signal SIGALRM (14)
